transaction_date,brand_name,outlet_name,no_of_ads,ad_spend,clicks,impressions,reach,year_month
2020-02-20,Pizzeria,Pizzeria - Central,5,35.91,96.0,10459.0,10142.0,2020-02
2020-02-20,The Beach,The Beach,1,5.96,24.0,753.0,540.0,2020-02
2020-02-20,The Brunch Place,The Brunch Place - Central,4,26.819999999999997,148.0,6633.0,5974.0,2020-02
2020-02-21,Louvré,Louvré,1,12.83,354.0,3560.0,3441.0,2020-02
2020-02-21,Pizzeria,Pizzeria - Central,5,34.9,63.0,9482.0,9104.0,2020-02
2020-02-21,The Beach,The Beach,1,5.97,12.0,787.0,565.0,2020-02
2020-02-21,The Brunch Place,The Brunch Place - Central,4,26.119999999999997,109.0,5910.0,5301.0,2020-02
2020-02-22,Louvré,Louvré,2,14.31,394.0,6870.0,6773.0,2020-02
2020-02-22,Pizzeria,Pizzeria - Central,7,57.650000000000006,122.0,14931.0,14448.0,2020-02
2020-02-22,The Beach,The Beach,1,6.23,10.0,855.0,634.0,2020-02
2020-02-22,The Brunch Place,The Brunch Place - Central,3,23.46,92.0,4398.0,3869.0,2020-02
2020-02-23,Louvré,Louvré,2,16.38,327.0,7049.0,6698.0,2020-02
2020-02-23,Pizzeria,Pizzeria - Central,7,59.19,187.0,15468.0,14875.0,2020-02
2020-02-23,The Beach,The Beach,1,6.02,10.0,804.0,590.0,2020-02
2020-02-23,The Brunch Place,The Brunch Place - Central,3,23.17,96.0,4741.0,4213.0,2020-02
2020-02-24,Louvré,Louvré,2,11.52,185.0,4278.0,4116.0,2020-02
2020-02-24,Pizzeria,Pizzeria - Central,7,61.36,185.0,11329.0,10828.0,2020-02
2020-02-24,The Beach,The Beach,1,6.5,18.0,929.0,700.0,2020-02
2020-02-24,The Brunch Place,The Brunch Place - Central,3,22.43,84.0,4200.0,3772.0,2020-02
2020-02-25,Louvré,Louvré,1,4.96,17.0,1262.0,1154.0,2020-02
2020-02-25,Pizzeria,Pizzeria - Central,7,70.36,192.0,13039.0,12261.0,2020-02
2020-02-25,The Beach,The Beach,1,6.08,8.0,993.0,720.0,2020-02
2020-02-25,The Brunch Place,The Brunch Place - Central,3,17.07,91.0,3595.0,3294.0,2020-02
2020-02-26,Louvré,Louvré,1,5.11,26.0,991.0,853.0,2020-02
2020-02-26,Pizzeria,Pizzeria - Central,9,85.75,239.0,20620.0,19772.0,2020-02
2020-02-26,The Beach,The Beach,1,6.38,10.0,985.0,700.0,2020-02
2020-02-26,The Brunch Place,The Brunch Place - Central,1,6.37,31.0,1717.0,1590.0,2020-02
2020-02-27,Louvré,Louvré,1,3.2,17.0,521.0,502.0,2020-02
2020-02-27,Pizzeria,Pizzeria - Central,9,85.32,160.0,19410.0,18622.0,2020-02
2020-02-27,The Beach,The Beach,1,4.5,6.0,696.0,562.0,2020-02
2020-02-27,The Brunch Place,The Brunch Place - Central,1,6.04,24.0,1197.0,1110.0,2020-02
2020-02-28,Pizzeria,Pizzeria - Central,9,89.11999999999999,185.0,19025.0,18320.0,2020-02
2020-02-28,The Brunch Place,The Brunch Place - Central,1,6.18,17.0,1155.0,1070.0,2020-02
2020-02-29,Pizzeria,Pizzeria - Central,9,65.80000000000001,113.0,13124.0,12711.0,2020-02
2020-02-29,The Brunch Place,The Brunch Place - Central,3,23.08,50.0,3815.0,3697.0,2020-02
2020-03-01,Louvré,Louvré,1,1.42,1.0,211.0,210.0,2020-03
2020-03-01,Pizzeria,Pizzeria - Central,9,43.489999999999995,83.0,11894.0,11563.0,2020-03
2020-03-01,The Brunch Place,The Brunch Place - Central,4,27.51,66.0,5771.0,5604.0,2020-03
